"Weights","0.018182","0.036364","0.054545","0.072727","0.090909","0.109091","0.127273","0.145455","0.163636","0.181818"
"Sequential","0.018180","0.036380","0.054570","0.072760","0.090910","0.109080","0.127260","0.145440","0.163620","0.181800"
"White Noise","0.018520","0.035740","0.055960","0.072520","0.091310","0.109820","0.125770","0.146620","0.163020","0.180720"
"Golden Ratio","0.018180","0.036360","0.054550","0.072730","0.090920","0.109090","0.127280","0.145460","0.163620","0.181810"
"Pi","0.018150","0.036310","0.054460","0.072640","0.090770","0.109420","0.127070","0.145660","0.163470","0.182050"
"Sqrt2","0.018160","0.036370","0.054540","0.072740","0.090910","0.109090","0.127280","0.145460","0.163610","0.181840"
"Alias White Noise","0.019000","0.036900","0.054660","0.072390","0.088970","0.109250","0.127770","0.146650","0.162910","0.181500"
"Alias R2","0.018500","0.036790","0.054210","0.073480","0.089130","0.110380","0.127700","0.145940","0.162880","0.180990"
"Alias R2 (Additive)","0.018180","0.036360","0.054540","0.072760","0.090860","0.109080","0.127210","0.145540","0.163590","0.181880"
"Alias GR / Sqrt2","0.018200","0.036390","0.054600","0.072690","0.090900","0.109060","0.127310","0.145430","0.163660","0.181760"
"Alias Sobol","0.018180","0.036390","0.054550","0.072750","0.090910","0.109080","0.127250","0.145510","0.163630","0.181750"
